Date,Value,YOY (%)
2023-01-01,6.97,44.01
2022-01-01,4.84,-8.85
2021-01-01,5.31,-6.68
2020-01-01,5.69,-14.44
2019-01-01,6.65,17.70
2018-01-01,5.65,-9.60
2017-01-01,6.25,-9.16
2016-01-01,6.88,8.35
2015-01-01,6.35,13.39
2014-01-01,5.60,-3.45
2013-01-01,5.80,-3.33
2012-01-01,6.00,20.00
2011-01-01,5.00,11.11
2010-01-01,4.50,-10.00
2009-01-01,5.00,4.38
2008-01-01,4.79,-2.44
2007-01-01,4.91,2.29
2006-01-01,4.80,-0.83
2005-01-01,4.84,0.41
2004-01-01,4.82,6.87
2003-01-01,4.51,-18.15
2002-01-01,5.51,0.00
2001-01-01,5.51,