Quarter,000001.SS,^BSESN,^FCHI,^FTLC,^GDAXI,^GSPC,^HSI,^N225,^SSMI,^BVSP
Q1 1998,-0.0091518751666666,-0.0091518751666666,-0.029354207,-0.045901639,-0.04109589,0.018050542,-0.0091518751666666,-0.041025641,0.084415584,-0.0091518751666666
Q1 1999,0.0114443888333333,0.0114443888333333,0.055702918,0.06993007,0.040540541,0.097457627,0.0114443888333333,-0.183246073,-0.01171875,0.0114443888333333
Q1 2001,-0.0082354611428571,-0.0082354611428571,0.012145749,0.020618557,0.00625,-0.003875969,0.024469821,-0.125827815,0.008571429,-0.0082354611428571
Q1 2002,-0.146417445,0.000660004,0.062880325,0.06300813,0.059670782,0.033730159,-0.029752066,-0.021126761,-0.016713092,0.000660004
Q1 2003,-0.094339623,-0.03220273375,0.0,0.018223235,-0.007177033,-0.022222222,-0.046153846,-0.214285714,0.108333333,-0.03220273375
Q1 2004,0.19047619,0.059785680625,-0.004761905,0.035490605,-0.016786571,0.048192771,0.0968523,0.142857143,-0.014035088,0.059785680625
Q1 2005,-0.097251586,-0.026406151625,-0.011173184,0.017621145,-0.02247191,0.028436019,-0.008241758,-0.038167939,-0.08,-0.026406151625
Q1 2006,-0.057692308,0.15392647225,0.182634731,0.107843137,0.171686747,0.128959276,0.154394299,0.264516129,0.279069767,0.15392647225
Q1 2007,0.132013201,0.03547697875,0.034398034,0.034907598,0.032338308,-0.014705882,0.03125,-0.035087719,0.06870229,0.03547697875
Q1 2008,-0.083521445,0.02888826925,0.028915663,0.033407572,0.00248139,-0.016042781,0.04494382,0.118881119,0.102040816,0.02888826925
Q1 2009,0.149090909,0.0782429068749999,0.016666667,-0.070844687,0.019543974,0.162698413,0.255434783,0.102362205,-0.009009009,0.0782429068749999
Q1 2010,-0.046703297,-0.0187529605,-0.034090909,0.025,-0.061349693,0.032171582,0.01986755,-0.015267176,-0.069651741,-0.0187529605
Q1 2011,0.007731959,0.0369341301249999,0.072674419,0.008042895,0.105960265,0.020648968,-0.070707071,0.008264463,0.142857143,0.0369341301249999
Q1 2012,0.029239766,0.042475728,-0.059748428,0.047393365,-0.10989011,0.040609137,-0.076923077,-0.052083333,0.0,-0.015436328
Q1 2013,-0.011204482,-0.005082592,-0.170506912,-0.144230769,-0.205298013,-0.078534031,-0.285714286,-0.243589744,-0.227848101,-0.1524454366666670
Q1 2014,-0.010989011,0.026255708,-0.147058824,-0.058419244,-0.170454545,-0.052447552,-0.034782609,0.0,-0.12244898,-0.063371673
Q1 2015,-0.005524862,0.006418485,-0.343283582,0.106918239,-0.692307692,0.031914894,0.107913669,0.214285714,-0.894736842,-0.1631557752222220
Q1 2016,0.007092199,-0.029986962,-0.392857143,-0.117977528,-0.697674419,-0.133971292,-0.204819277,-1.9,-0.166666667,-0.4040956765555560
Q1 2017,0.086378738,0.055964654,0.034883721,-0.23943662,-0.12,-0.053497942,-0.248704663,-0.777777778,0.428571429,-0.0926242734444444
Q1 2018,-0.036082474,0.045706371,-0.093023256,0.086330935,0.021276596,0.112403101,0.078817734,-0.375,0.2,0.0044921118888888
Q1 2019,-0.030959752,0.00952381,-0.430769231,-0.098484848,-1.307692308,-0.066420664,-0.082417582,4.0,0.285714286,0.2531659678888890
Q2 1998,-0.0429832368333333,-0.0429832368333333,-0.036290323,0.001718213,-0.044897959,-0.031914894,-0.0429832368333333,-0.101604278,-0.04491018,-0.0429832368333333
Q2 1999,0.1671911678333330,0.1671911678333330,0.208542714,0.169934641,0.215584416,0.117760618,0.1671911678333330,0.08974359,0.201581028,0.1671911678333330
Q2 2001,0.0101177894285714,0.0101177894285714,0.03,0.050505051,0.039337474,0.019455253,-0.012738854,-0.007575758,-0.04815864,0.0101177894285714
Q2 2002,-0.062043796,-0.072226866625,-0.053435115,-0.043977055,-0.054368932,-0.107485605,-0.112436116,-0.064748201,-0.079320113,-0.072226866625
Q2 2003,0.038194444,0.058590396875,-0.049763033,-0.013422819,-0.043373494,0.005050505,0.073732719,0.454545455,0.003759398,0.058590396875
Q2 2004,0.1175,0.06274249275,0.0215311,0.030241935,0.034146341,0.034482759,0.01986755,0.190789474,0.053380783,0.06274249275
Q2 2005,-0.161592506,-0.049152047,-0.076271186,-0.069264069,-0.08045977,-0.036866359,0.052631579,0.031746032,-0.053140097,-0.049152047
Q2 2006,0.078231293,0.0142598411249999,0.020253165,0.030973451,0.030848329,0.02004008,-0.047325103,-0.015306122,-0.003636364,0.0142598411249999
Q2 2007,0.297376093,0.11258878425,0.087885986,0.073412698,0.084337349,0.066098081,0.083916084,0.096969697,0.110714286,0.11258878425
Q2 2008,0.115763547,0.095877753875,0.098360656,0.088362069,0.111386139,0.089673913,0.322580645,-0.0375,-0.021604938,0.095877753875
Q2 2009,0.022151899,0.06535533525,0.019125683,0.120234604,0.067092652,0.215017065,0.090909091,-0.007142857,-0.004545455,0.06535533525
Q2 2010,-0.054755043,-0.156613625875,-0.120588235,-0.143902439,-0.14379085,-0.218181818,-0.211038961,-0.162790698,-0.197860963,-0.156613625875
Q2 2011,-0.007672634,-0.133473870875,-0.078590786,-0.119680851,-0.179640719,-0.132947977,-0.126811594,-0.114754098,-0.307692308,-0.133473870875
Q2 2012,-0.053977273,-0.057043073,-0.237458194,-0.253393665,-0.234567901,-0.253658537,-0.433333333,-0.142857143,-0.243243243,-0.2121702624444440
Q2 2013,-0.002832861,-0.012771392,0.25,0.387640449,0.3,0.465909091,1.611111111,0.338983051,0.803278689,0.4601464597777780
Q2 2014,-0.093333333,-0.036707453,-0.231527094,-0.003649635,-0.239726027,-0.062730627,-0.063063063,-0.131147541,-0.279069767,-0.1267727266666670
Q2 2015,0.002777778,-0.00255102,1.522727273,0.215909091,4.916666667,0.195876289,0.168831169,0.205882353,-2.0,0.5806799555555560
Q2 2016,-0.014084507,-0.012096774,-0.666666667,-0.388535032,-2.153846154,-0.171270718,-0.287878788,1.222222222,1.16,-0.1457951575555560
Q2 2017,0.091743119,-0.086471409,-0.056179775,0.175925926,1.090909091,0.008695652,0.034482759,3.0,-1.6,0.2954561514444440
Q2 2018,-0.069518717,0.033112583,-0.141025641,-0.092715232,-0.416666667,0.006968641,0.00456621,0.2,-0.666666667,-0.1268828322222220
Q2 2019,0.031948882,-0.110512129,1.1759332377777800,-1.189189189,-0.302521008,8.75,-0.185770751,-0.017964072,2.2,1.407407407
Q3 1998,-0.1891733228333330,-0.1891733228333330,-0.127615063,-0.140651801,-0.132478632,-0.17032967,-0.1891733228333330,-0.476190476,-0.087774295,-0.1891733228333330
Q3 1999,0.0996127288333333,0.0996127288333333,0.128898129,0.094972067,0.13034188,0.055267703,0.0996127288333333,-0.005882353,0.194078947,0.0996127288333333
Q3 2001,-0.0815550472857142,-0.0815550472857142,-0.083495146,-0.071153846,-0.083665339,-0.127862595,-0.138709677,0.038167939,-0.104166667,-0.0815550472857142
Q3 2002,0.221789883,-0.07154434025,-0.08266129,-0.076,-0.084188912,-0.152688172,-0.124760077,-0.153846154,-0.12,-0.07154434025
Q3 2003,0.08361204,0.116005228625,0.067331671,0.113378685,0.062972292,0.077889447,-0.055793991,0.5,0.078651685,0.116005228625
Q3 2004,0.147651007,-0.086148561,-0.067915691,-0.066536204,-0.08254717,-0.088888889,-0.233766234,-0.182320442,-0.114864865,-0.086148561
Q3 2005,-0.094972067,0.0524294066249999,0.006116208,0.011627907,0.0125,0.066985646,0.184210526,0.161538462,0.071428571,0.0524294066249999
Q3 2006,-0.05362776,-0.074557337375,-0.054590571,-0.008583691,-0.054862843,-0.070726916,-0.157667387,-0.10880829,-0.087591241,-0.074557337375
Q3 2007,-0.013483146,-0.0735002032499999,-0.03930131,-0.083179298,-0.048888889,-0.094,-0.165591398,-0.104972376,-0.038585209,-0.0735002032499999
Q3 2008,-0.178807947,-0.134041318,-0.108742004,-0.093069307,-0.135857461,-0.049875312,-0.344173442,-0.032467532,-0.129337539,-0.134041318
Q3 2009,0.086687307,-0.02175593825,-0.045576408,-0.065445026,-0.038922156,-0.047752809,-0.079365079,0.007194245,0.00913242,-0.02175593825
Q3 2010,0.012195122,-0.086628998875,-0.090301003,-0.125356125,-0.103053435,-0.156146179,-0.037037037,-0.166666667,-0.026666667,-0.086628998875
Q3 2011,-0.005154639,-0.18861121575,-0.120588235,-0.235649547,-0.270072993,-0.283333333,-0.307053942,-0.037037037,-0.25,-0.18861121575
Q3 2012,0.039039039,0.00617284,-0.039473684,0.072727273,0.185483871,0.14379085,0.058823529,-0.025641026,0.071428571,0.0569279181111111
Q3 2013,0.136363636,0.108667529,0.062222222,0.085020243,0.128205128,0.015503876,-0.2,-0.253164557,-0.027272727,0.0061717055555555
Q3 2014,-0.024509804,-0.030023095,-0.192307692,-0.175824176,-0.288288288,-0.094488189,-0.081730769,-0.113207547,-0.096774194,-0.1219059726666670
Q3 2015,-0.102493075,-0.028132992,-0.216216216,-0.135514019,-0.267605634,-0.107758621,-0.122222222,-0.268292683,5.75,0.5001960597777780
Q3 2016,-0.025,-0.07755102,0.941176471,0.125,0.0266499898749999,0.173333333,0.159574468,-0.75,-0.333333333,0.0266499898749999
Q3 2017,0.011204482,0.061068702,-0.035714286,0.086614173,-0.195652174,0.017241379,0.213333333,-0.125,-1.5,-0.1629893767777780
Q3 2018,0.037356322,0.016666667,0.223880597,0.131386861,0.428571429,0.089965398,0.104545455,1.166666667,0.75,0.327671044
Q3 2019,-0.027863777,-0.009090909,0.07957877822222220,1.285714286,-0.228915663,0.205128205,-0.169902913,-0.06097561,-0.0625,-0.215384615
Q4 1998,0.1273027415,0.1273027415,-0.095923261,-0.143712575,-0.088669951,0.041942605,0.1273027415,1.170454545,-0.120274914,0.1273027415
Q4 1999,0.035125142,0.035125142,0.042357274,-0.010204082,0.047258979,0.090016367,0.035125142,0.0,0.041322314,0.035125142
Q4 2001,0.0846084172857142,0.0846084172857142,0.044491525,0.01863354,0.056521739,0.102844639,0.132958801,0.044117647,0.19269103,0.0846084172857142
Q4 2002,0.012738854,-0.0679786793749999,-0.072527473,-0.04978355,-0.062780269,0.027918782,-0.002192982,-0.236363636,-0.160839161,-0.0679786793749999
Q4 2003,0.037037037,-0.024843254625,-0.018691589,-0.024439919,-0.011848341,-0.032634033,-0.061363636,-0.076388889,-0.010416667,-0.024843254625
Q4 2004,-0.07797271,-0.0637619393749999,-0.100502513,-0.048218029,-0.084832905,0.029268293,0.028248588,-0.114864865,-0.141221374,-0.0637619393749999
Q4 2005,-0.037037037,-0.010291317625,0.015197568,-0.062068966,0.024691358,-0.00896861,-0.064444444,0.026490066,0.023809524,-0.010291317625
Q4 2006,0.01,0.038529406125,0.06824147,0.054112554,0.060686016,0.006342495,0.066666667,-0.005813953,0.048,0.038529406125
Q4 2007,0.009111617,-0.10264135125,-0.056818182,-0.094758065,-0.058411215,-0.174392936,-0.31185567,-0.117283951,-0.016722408,-0.10264135125
Q4 2008,-0.260752688,-0.216064598875,-0.138755981,-0.198689956,-0.208762887,-0.338582677,-0.239669421,-0.147651007,-0.195652174,-0.216064598875
Q4 2009,0.037037037,0.051132657,-0.011235955,0.120448179,0.015576324,0.100294985,0.301724138,-0.064285714,-0.090497738,0.051132657
Q4 2010,0.168674699,0.2660458626250000,0.264705882,0.214983713,0.285106383,0.334645669,0.269230769,0.344444444,0.246575342,0.2660458626250000
Q4 2011,-0.113989637,-0.125433512375,0.063545151,-0.166007905,-0.09,-0.08372093,-0.221556886,-0.076923077,-0.314814815,-0.125433512375
Q4 2012,0.031791908,-0.034355828,-0.00913242,0.175141243,0.027210884,0.091428571,0.75,0.026315789,0.316666667,0.1527852015555560
Q4 2013,0.1375,0.022170362,-0.0041841,0.085820896,0.0,0.091603053,0.223404255,0.033898305,-0.08411215,0.0562334023333333
Q4 2014,-0.090452261,-0.072619048,-0.468253968,-0.293333333,-0.506329114,-0.182608696,-0.272251309,-0.404255319,-1.125,-0.3794558942222220
Q4 2015,-0.12962963,0.009210526,-0.034482759,-0.037837838,-0.173076923,0.009661836,0.050632911,-0.666666667,0.111111111,-0.0956752703333333
Q4 2016,0.102564103,0.001474926,1.606060606,0.314814815,-3.777777778,0.380681818,0.770642202,-2.8,-0.805555556,-0.4674549848888890
Q4 2017,0.074792244,0.038848921,0.061728395,0.007246377,0.27027027,0.093220339,0.115384615,0.142857143,-4.333333333,-0.3921094476666670
Q4 2018,-0.105263158,-0.073139975,-0.207317073,-0.148387097,-0.675,-0.13968254,-0.251028807,-0.69997733125,-4.0,-0.69997733125
Q4 2019,0.0,0.042813456,-0.14806285711111100,-0.9375,0.125,-0.340425532,0.029239766,-0.090909091,-0.533333333,0.37254902